,DATE,ABEV3.SA,AGRO3.SA,ALPA4.SA,ALUP11.SA,AMAR3.SA,AMBP3.SA,AMER3.SA,ANIM3.SA,AZUL4.SA,B3SA3.SA,BBAS3.SA,BBDC4.SA,BBSE3.SA,BEEF3.SA,BKBR3.SA,BPAN4.SA,BRAP3.SA,BRDT3.SA,BRFS3.SA,BRKM5.SA,BRML3.SA,BRPR3.SA,BRSR6.SA,CAML3.SA,CCRO3.SA,CEAB3.SA,CIEL3.SA,CMIG4.SA,COCE5.SA,CPFE3.SA,CPLE6.SA,CRFB3.SA,CSAN3.SA,CSMG3.SA,CSNA3.SA,CYRE3.SA,DIRR3.SA,ECOR3.SA,EGIE3.SA,ELET6.SA,ENAT3.SA,ENBR3.SA,ENEV3.SA,ENGI3.SA,EQTL3.SA,EVEN3.SA,EZTC3.SA,FESA4.SA,FLRY3.SA,GFSA3.SA,GGBR4.SA,GNDI3.SA,GOAU4.SA,GRND3.SA,GUAR3.SA,IGTA3.SA,IRBR3.SA,ITSA4.SA,ITUB4.SA,JPSA3.SA,KLBN4.SA,LAME4.SA,LCAM3.SA,LEVE3.SA,LIGT3.SA,LOGG3.SA,LOGN3.SA,LPSB3.SA,LREN3.SA,LWSA3.SA,MDIA3.SA,MDNE3.SA,MEAL3.SA,MGLU3.SA,MILS3.SA,MRVE3.SA,MTRE3.SA,MULT3.SA,MYPK3.SA,NEOE3.SA,NTCO3.SA,PARD3.SA,PETR4.SA,PFRM3.SA,PNVL3.SA,POMO4.SA,PRIO3.SA,PSSA3.SA,QUAL3.SA,RADL3.SA,RAIL3.SA,RAPT4.SA,RDOR3.SA,SAPR4.SA,SBFG3.SA,SBSP3.SA,SEER3.SA,SLCE3.SA,SMTO3.SA,SOMA3.SA,STBP3.SA,SULA11.SA,SUZB3.SA,SYNE3.SA,TAEE11.SA,TEND3.SA,TGMA3.SA,TIMS3.SA,TOTS3.SA,TRIS3.SA,TRPL4.SA,TUPY3.SA,UGPA3.SA,UNIP6.SA,USIM5.SA,VALE3.SA,VIIA3.SA,VIVA3.SA,VIVT3.SA,VLID3.SA,WEGE3.SA,WIZS3.SA
0,2020-12-15,15.560000,26.110001,40.630001,26.850000,7.240000,27.950001,78.480003,12.483333,39.910000,19.626665,38.990002,24.036364,29.930000,9.870000,11.360000,10.120000,50.278885,22.680000,21.799999,21.209999,10.670000,10.630000,13.920000,11.390000,13.610000,13.650000,3.770000,12.090022,55.689999,31.930000,7.158000,19.790001,18.465000,15.990000,28.150000,31.709999,13.300000,13.100000,44.250000,38.509998,11.180000,19.860001,14.110000,14.150000,22.639999,13.250000,45.099998,18.690001,26.969999,4.730000,23.799999,74.050003,10.830000,8.810000,16.240000,39.549999,7.250000,11.500000,31.160000,26.700001,4.890000,25.213369,26.510000,20.820000,23.359465,32.869999,17.040001,5.120000,46.020000,16.762501,34.439999,11.190000,4.690000,24.610001,6.890000,20.410000,15.390000,25.059999,14.460000,17.000000,49.000000,22.420000,27.850000,5.530000,21.049999,2.870000,11.108000,50.060001,34.689999,25.190001,19.500000,15.790000,66.589996,5.180000,28.940001,45.730000,16.480000,26.400000,25.690001,13.630000,5.060000,42.019619,53.500000,14.180000,33.619999,30.389999,27.690001,14.390000,26.100000,12.710000,28.830000,21.879999,23.600000,45.200001,13.820000,84.500000,17.020000,26.360001,45.740002,9.794965,36.375000,9.260000
1,2020-12-16,15.820000,26.000000,41.919998,26.719999,7.230000,27.200001,81.489998,12.683333,39.680000,20.183332,39.349998,24.581818,30.260000,10.290000,11.870000,10.070000,50.553341,22.750000,22.139999,22.400000,10.740000,10.850000,13.950000,11.720000,13.750000,13.610000,3.800000,12.090022,56.150002,32.320000,7.231000,19.799999,18.504999,16.090000,28.370001,29.830000,13.300000,13.180000,45.450001,37.419998,11.130000,19.860001,14.505000,16.950001,22.680000,13.250000,45.580002,18.879999,27.620001,4.710000,23.780001,74.790001,10.900000,8.970000,16.230000,39.419998,7.470000,11.660000,31.750000,26.809999,4.940000,25.562586,26.840000,20.889999,23.242764,33.700001,16.969999,5.030000,46.310001,16.995001,34.150002,11.320000,4.930000,24.959999,6.800000,20.490000,15.500000,25.299999,14.650000,17.309999,50.900002,22.809999,28.190001,5.430000,20.900000,2.920000,11.230000,49.750000,34.779999,25.450001,19.520000,16.299999,67.250000,5.140000,30.090000,44.599998,16.219999,26.870001,25.650000,13.800000,5.050000,42.575981,54.369999,14.080000,33.419998,30.840000,27.580000,14.250000,26.879999,12.610000,28.860001,22.040001,23.990000,46.009998,13.820000,86.220001,17.100000,26.690001,45.919998,10.080446,36.650002,9.160000
2,2020-12-17,16.059999,26.020000,41.470001,27.000000,7.080000,27.549999,79.949997,12.833333,38.740002,20.150000,39.389999,24.700001,30.260000,10.160000,11.530000,10.010000,51.128819,22.799999,21.840000,24.100000,10.630000,10.700000,13.890000,11.580000,13.520000,13.450000,3.850000,12.385994,57.869999,32.700001,7.175000,19.879999,19.355000,15.990000,29.420000,29.250000,13.090000,13.090000,44.869999,36.930000,11.240000,19.840000,14.177500,16.700001,23.020000,12.910000,44.880001,18.799999,27.330000,4.710000,24.400000,75.580002,11.090000,8.530000,15.950000,38.930000,7.340000,11.670000,31.709999,26.510000,4.980000,26.141287,27.510000,20.820000,22.853764,34.570000,16.750000,4.960000,45.500000,17.697500,34.540001,11.590000,4.870000,24.540001,6.650000,20.059999,15.100000,24.910000,14.450000,16.930000,51.139999,23.180000,28.240000,5.400000,20.879999,2.900000,11.650000,49.660000,35.169998,25.900000,19.799999,16.000000,69.800003,5.150000,29.820000,44.090000,16.049999,26.850000,25.740000,13.890000,5.030000,42.189358,54.959999,14.200000,33.349998,30.180000,27.440001,14.410000,28.320000,12.460000,27.860001,21.809999,23.370001,46.439999,13.710000,87.199997,16.969999,27.930000,46.189999,9.972160,37.884998,8.680000
3,2020-12-18,15.860000,25.840000,41.599998,26.670000,7.080000,26.500000,78.660004,12.433333,37.950001,19.933332,39.099998,24.745455,29.600000,10.370000,11.320000,9.950000,51.730854,22.959999,22.070000,23.740000,10.390000,10.440000,13.910000,11.570000,13.300000,13.300000,3.750000,12.520527,57.869999,32.380001,7.173000,19.480000,19.025000,16.049999,30.400000,28.879999,12.990000,13.000000,44.910000,36.840000,11.190000,19.719999,14.170000,17.700001,22.900000,12.800000,43.980000,18.610001,26.750000,4.770000,24.830000,74.349998,11.380000,8.500000,15.490000,38.270000,7.390000,11.560000,31.660000,26.700001,5.080000,25.472788,27.480000,20.549999,22.853764,34.139999,16.340000,4.960000,45.189999,18.542500,35.110001,11.600000,4.870000,24.520000,6.660000,19.639999,15.100000,24.370001,14.570000,17.270000,51.180000,23.070000,28.100000,5.370000,20.950001,2.910000,11.350000,49.299999,34.500000,25.530001,19.379999,16.240000,68.309998,5.220000,29.950001,43.939999,15.730000,26.680000,26.049999,13.120000,5.330000,41.708431,56.430000,14.080000,33.130001,29.969999,26.959999,14.440000,28.219999,12.250000,27.740000,21.580000,23.730000,46.110001,14.390000,87.800003,16.820000,27.629999,45.660000,9.863874,36.435001,8.770000
4,2020-12-21,15.420000,25.350000,40.939999,26.500000,6.920000,26.370001,77.099998,12.423333,36.500000,19.666666,37.790001,24.145454,28.969999,10.220000,10.990000,9.930000,51.305885,22.469999,21.809999,23.270000,10.090000,10.250000,13.540000,11.370000,13.200000,13.090000,3.590000,12.107959,56.860001,31.660000,7.158000,18.969999,18.452499,15.850000,30.860001,28.709999,12.660000,12.940000,43.500000,36.000000,11.070000,19.500000,14.062500,16.920000,22.190001,12.500000,43.150002,18.900000,26.670000,4.600000,24.389999,75.480003,11.150000,8.400000,15.050000,37.070000,7.150000,11.380000,31.100000,25.719999,4.940000,24.874132,27.049999,20.200001,22.562014,33.400002,16.010000,4.740000,43.950001,18.142500,34.270000,11.300000,4.620000,25.000000,6.430000,19.120001,14.510000,23.799999,14.250000,16.940001,49.740002,22.639999,27.020000,5.350000,20.680000,2.830000,11.320000,48.090000,34.599998,24.900000,19.250000,15.760000,66.180000,5.190000,28.900000,43.290001,15.190000,27.129999,25.760000,13.190000,5.140000,41.218079,55.220001,13.650000,32.959999,29.400000,26.049999,14.270000,28.100000,12.210000,27.459999,21.360001,23.190001,44.590000,14.240000,86.860001,16.150000,26.850000,45.080002,9.844186,36.005001,8.570000
5,2020-12-22,15.510000,25.690001,40.500000,26.219999,6.600000,26.100000,75.970001,12.096666,35.270000,20.093332,38.290001,24.636362,29.160000,10.640000,11.070000,10.010000,50.597610,22.040001,22.219999,23.070000,9.850000,10.000000,13.560000,11.380000,13.200000,12.830000,3.490000,12.421870,58.060001,32.060001,7.233000,19.190001,18.777500,16.120001,30.309999,28.700001,12.480000,12.830000,43.259998,35.610001,11.070000,19.510000,13.972500,16.400000,22.650000,12.210000,43.099998,18.320000,26.730000,4.460000,24.059999,77.570000,10.900000,8.310000,14.700000,36.490002,7.190000,11.400000,31.250000,25.170000,5.130000,24.824244,26.730000,20.080000,22.289713,32.660000,15.740000,4.660000,43.160000,18.462500,34.099998,11.200000,4.300000,25.160000,6.160000,19.180000,15.000000,23.240000,14.000000,16.969999,50.049999,22.629999,27.280001,5.260000,20.650000,2.770000,11.936000,48.040001,35.180000,25.379999,19.150000,15.550000,67.300003,5.220000,28.750000,43.500000,14.690000,28.070000,26.500000,13.050000,4.970000,40.444828,57.680000,13.260000,32.959999,29.190001,25.700001,14.340000,27.660000,11.900000,27.540001,21.100000,23.350000,46.790001,13.970000,86.940002,15.940000,27.260000,45.389999,9.302755,36.410000,8.200000
6,2020-12-23,15.500000,25.000000,41.130001,26.410000,6.620000,26.270000,75.599998,12.100000,37.700001,19.996666,38.919998,25.200001,29.129999,10.370000,10.900000,9.960000,51.500664,22.100000,22.389999,23.240000,10.010000,10.020000,13.890000,11.380000,13.440000,12.800000,3.530000,12.717842,58.740002,31.860001,7.451000,19.219999,18.527500,16.530001,30.860001,28.799999,12.280000,13.150000,43.660000,36.130001,11.440000,19.540001,14.555000,16.990000,22.670000,12.190000,42.490002,18.900000,26.559999,4.420000,24.240000,77.300003,11.070000,8.400000,14.660000,36.959999,7.240000,11.670000,31.940001,25.590000,5.030000,25.103617,27.760000,20.150000,23.456715,33.009998,16.059999,4.750000,43.720001,19.225000,34.230000,11.190000,4.160000,24.969999,6.210000,19.020000,15.800000,23.740000,14.300000,17.180000,51.689999,22.389999,27.950001,5.540000,21.200001,2.820000,13.226000,48.279999,35.779999,24.950001,19.200001,15.700000,68.139999,5.370000,28.670000,45.139999,15.310000,27.740000,26.309999,13.520000,5.100000,40.623997,56.369999,13.520000,32.950001,28.990000,26.139999,14.510000,27.809999,11.860000,27.799999,21.500000,23.700001,47.049999,14.620000,87.360001,16.129999,27.650000,45.490002,9.588237,36.310001,7.960000
7,2020-12-28,15.770000,25.260000,41.869999,26.559999,6.520000,26.700001,77.040001,12.010000,37.770000,20.500000,39.349998,25.445454,29.730000,10.290000,11.010000,10.100000,50.996014,22.160000,22.450001,23.030001,10.250000,10.070000,14.100000,11.400000,13.460000,12.830000,3.810000,13.022783,59.200001,32.209999,7.625000,19.469999,19.139999,16.469999,31.040001,29.030001,12.380000,13.190000,44.840000,36.730000,11.510000,19.830000,14.687500,17.000000,23.040001,12.040000,42.799999,19.510000,27.129999,4.410000,24.230000,78.000000,11.090000,8.360000,14.740000,37.580002,8.110000,11.800000,32.169998,25.760000,5.060000,26.001600,28.020000,20.370001,23.738739,33.630001,16.180000,4.860000,43.970001,19.692499,33.830002,11.440000,4.220000,25.250000,6.190000,19.160000,15.900000,24.260000,14.600000,17.440001,52.000000,22.430000,28.180000,5.780000,21.360001,2.870000,13.308000,49.509998,35.209999,25.209999,19.650000,15.880000,68.000000,5.390000,28.900000,45.709999,15.500000,27.760000,26.879999,13.550000,5.220000,40.793732,57.160000,13.590000,33.630001,28.900000,26.500000,14.640000,28.129999,11.900000,27.990000,21.340000,23.900000,47.490002,14.460000,87.309998,16.590000,27.879999,45.900002,9.686679,37.750000,7.940000
8,2020-12-29,15.950000,25.180000,42.380001,26.639999,6.820000,27.000000,75.699997,12.043333,37.669998,20.606667,39.119999,25.027271,30.059999,10.360000,11.180000,9.940000,50.686146,22.110001,22.500000,23.389999,10.060000,9.980000,14.640000,11.270000,13.770000,13.000000,3.830000,12.977939,59.700001,32.330002,7.276000,19.600000,19.250000,16.500000,32.549999,29.170000,12.790000,13.460000,44.490002,36.840000,11.640000,19.830000,14.760000,16.940001,22.980000,12.330000,43.270000,19.750000,27.309999,4.410000,24.500000,79.970001,11.300000,8.450000,15.150000,36.860001,8.210000,11.870000,32.099998,25.559999,5.080000,26.151264,28.350000,20.900000,23.826263,33.259998,16.170000,4.890000,44.130001,18.975000,33.830002,11.390000,4.170000,25.280001,6.230000,19.200001,16.250000,23.360001,14.920000,17.459999,51.939999,22.860001,28.270000,5.910000,21.799999,2.950000,13.564000,49.540001,35.669998,25.299999,19.530001,16.299999,68.000000,5.370000,29.160000,44.740002,15.760000,27.510000,27.040001,13.410000,5.210000,42.236507,57.209999,13.670000,33.570000,30.080000,26.889999,14.880000,28.059999,12.270000,28.370001,21.370001,24.110001,47.020000,15.080000,87.070000,16.580000,28.330000,45.200001,9.745744,37.575001,7.950000
9,2020-12-30,15.650000,25.000000,42.000000,26.840000,6.810000,26.420000,75.610001,12.000000,39.299999,20.660000,38.799999,24.672728,29.629999,10.180000,10.900000,9.530000,50.677292,22.129999,22.040001,23.570000,9.900000,9.900000,14.570000,11.070000,13.470000,12.890000,4.000000,13.058659,60.000000,32.549999,7.494000,19.389999,18.932501,16.400000,31.850000,29.480000,13.090000,13.370000,43.939999,37.000000,11.850000,19.650000,15.525000,17.010000,23.160000,12.020000,42.900002,19.110001,27.020000,4.350000,24.450001,78.339996,11.260000,8.380000,14.910000,37.150002,8.180000,11.730000,31.629999,26.290001,5.210000,26.231085,29.309999,20.969999,23.631763,34.209999,16.180000,4.980000,43.540001,20.117500,34.060001,11.600000,4.210000,24.950001,6.150000,18.950001,17.000000,23.530001,15.500000,17.620001,52.500000,22.590000,28.340000,6.100000,21.799999,2.870000,14.038000,49.000000,34.980000,25.040001,19.240000,16.080000,68.300003,5.100000,29.719999,44.439999,15.620000,27.450001,27.360001,13.390000,5.250000,41.585842,58.540001,13.700000,33.400002,30.190001,26.969999,14.650000,28.719999,12.250000,27.809999,20.969999,23.740000,51.189999,14.610000,87.449997,16.160000,29.459999,46.500000,9.243690,37.869999,8.040000
