"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"23/09/2021","112.282","114.064","1,59","112.281","114.330","38,71B"
"22/09/2021","110.252","112.282","1,84","110.251","113.321","40,39B"
"21/09/2021","108.859","110.250","1,29","108.859","110.923","34,42B"
"20/09/2021","111.435","108.844","-2,33","107.520","111.435","39,20B"
"17/09/2021","113.794","111.439","-2,07","111.157","113.794","48,21B"
"16/09/2021","115.062","113.794","-1,10","113.395","115.062","35,86B"
"15/09/2021","116.191","115.063","-0,96","114.741","116.312","49,72B"
"14/09/2021","116.405","116.181","-0,19","115.809","117.270","31,15B"
"13/09/2021","114.300","116.404","1,85","114.300","117.046","31,37B"
"10/09/2021","115.370","114.286","-0,93","114.286","116.896","35,04B"
"09/09/2021","113.413","115.361","1,72","112.435","116.354","42,84B"
"08/09/2021","117.866","113.413","-3,78","113.172","117.866","39,99B"
"06/09/2021","116.926","117.869","0,80","116.156","117.981","20,77B"
"03/09/2021","116.679","116.933","0,22","115.583","117.396","45,67B"
"02/09/2021","119.394","116.677","-2,28","116.534","119.397","34,27B"
"01/09/2021","118.793","119.396","0,52","118.067","119.942","33,67B"
"31/08/2021","119.738","118.781","-0,80","117.911","120.157","42,45B"
"30/08/2021","120.677","119.740","-0,78","119.354","120.684","25,73B"
"27/08/2021","118.725","120.678","1,65","118.721","120.678","27,99B"
"26/08/2021","120.817","118.724","-1,73","118.719","120.833","30,96B"
"25/08/2021","120.210","120.818","0,50","119.226","120.818","29,70B"
"24/08/2021","117.474","120.211","2,33","117.474","120.463","34,82B"
"23/08/2021","118.053","117.472","-0,49","117.062","118.445","30,88B"
"20/08/2021","117.163","118.053","0,76","116.040","118.308","35,98B"
"19/08/2021","116.641","117.165","0,45","114.801","117.453","42,66B"
"18/08/2021","117.904","116.643","-1,07","116.489","118.739","56,87B"
"17/08/2021","119.179","117.904","-1,07","116.248","119.179","41,43B"
"16/08/2021","121.191","119.180","-1,66","118.684","121.191","38,83B"
"13/08/2021","120.701","121.194","0,41","120.045","121.275","35,40B"
"12/08/2021","122.056","120.701","-1,11","120.534","122.095","37,81B"
"11/08/2021","122.203","122.056","-0,12","120.827","122.756","32,29B"
"10/08/2021","123.021","122.202","-0,66","122.061","123.513","29,92B"
"09/08/2021","122.809","123.019","0,17","122.258","123.597","29,23B"
"06/08/2021","121.633","122.810","0,97","121.568","123.287","28,00B"
"05/08/2021","121.801","121.633","-0,14","121.128","123.541","41,32B"
"04/08/2021","123.577","121.801","-1,44","121.072","123.587","33,39B"
"03/08/2021","122.516","123.577","0,87","120.807","123.765","35,59B"
"02/08/2021","121.803","122.516","0,59","121.797","124.536","35,10B"
"30/07/2021","125.672","121.801","-3,08","121.748","125.673","39,11B"
"29/07/2021","126.285","125.675","-0,48","124.917","126.476","31,95B"
"28/07/2021","124.615","126.286","1,34","124.542","126.712","35,48B"
"27/07/2021","126.004","124.612","-1,10","123.670","126.026","29,50B"
"26/07/2021","125.058","126.004","0,76","125.006","126.214","26,18B"
"23/07/2021","126.140","125.053","-0,87","124.422","126.204","25,85B"
"22/07/2021","125.930","126.147","0,17","125.416","126.428","25,70B"
"21/07/2021","125.404","125.929","0,42","125.247","126.112","28,62B"
"20/07/2021","124.395","125.401","0,81","123.631","125.631","29,30B"
"19/07/2021","125.958","124.395","-1,24","123.317","125.958","33,38B"
"16/07/2021","127.468","125.960","-1,18","125.808","128.010","30,86B"
"15/07/2021","128.407","127.468","-0,73","126.922","128.976","31,62B"
"14/07/2021","128.169","128.407","0,19","128.085","129.620","44,24B"
"13/07/2021","127.594","128.168","0,45","126.441","128.420","28,06B"
"12/07/2021","125.428","127.594","1,73","125.428","127.782","30,59B"
"08/07/2021","127.013","125.428","-1,25","124.310","127.013","35,07B"
"07/07/2021","125.096","127.019","1,54","125.094","127.249","34,49B"
"06/07/2021","126.919","125.095","-1,44","124.866","126.919","30,19B"
"05/07/2021","127.622","126.920","-0,55","126.531","127.633","23,77B"
"02/07/2021","n/d","127.622","1,56","125.667","127.672","31,59B"
"01/07/2021","126.802","125.666","-0,90","124.994","127.204","36,92B"
"30/06/2021","127.323","126.802","-0,41","126.199","127.323","35,56B"
"29/06/2021","127.429","127.327","-0,08","126.184","127.507","n/d"
"28/06/2021","127.255","127.429","0,14","126.629","128.067","31,42B"
"25/06/2021","128.433","127.256","-1,74","126.697","129.748","37,09B"
"24/06/2021","128.433","129.513","0,85","128.428","129.541","31,30B"
"23/06/2021","128.769","128.428","-0,26","128.182","129.901","33,12B"
"22/06/2021","129.242","128.767","-0,38","127.803","129.259","34,86B"
"21/06/2021","128.405","129.265","0,67","128.048","129.412","32,44B"
"18/06/2021","128.050","128.405","0,27","127.595","128.796","49,51B"
"17/06/2021","129.259","128.057","-0,93","127.576","129.919","38,17B"
"16/06/2021","130.091","129.259","-0,64","128.345","130.283","93,84B"
"15/06/2021","130.208","130.091","-0,09","129.304","130.436","30,63B"
"14/06/2021","129.441","130.208","0,59","129.441","131.084","32,72B"
"11/06/2021","130.076","129.441","-0,49","128.678","130.294","29,88B"
"10/06/2021","129.911","130.076","0,13","129.526","130.527","34,41B"
"09/06/2021","129.800","129.907","0,09","129.281","130.882","38,72B"
"08/06/2021","130.776","129.787","-0,76","129.230","130.776","40,16B"
"07/06/2021","130.125","130.776","0,50","129.498","131.190","38,38B"
"04/06/2021","129.600","130.126","0,40","129.148","130.137","38,18B"
"02/06/2021","128.268","129.601","1,04","128.167","129.601","45,75B"
"01/06/2021","126.218","128.267","1,63","126.218","128.363","47,64B"
"31/05/2021","125.561","126.216","0,52","125.540","126.216","25,36B"
"28/05/2021","124.367","125.561","0,96","124.284","125.698","33,95B"
"27/05/2021","123.989","124.367","0,30","123.470","124.537","50,09B"
"26/05/2021","122.988","123.989","0,81","122.988","124.256","33,99B"
"25/05/2021","124.032","122.988","-0,84","122.701","124.696","32,83B"
"24/05/2021","122.592","124.032","1,17","122.526","124.167","32,33B"
"21/05/2021","122.701","122.592","-0,09","121.760","122.799","38,20B"
"20/05/2021","122.636","122.701","0,05","122.136","122.734","31,67B"
"19/05/2021","122.976","122.636","-0,28","121.595","123.013","35,19B"
"18/05/2021","122.937","122.980","0,03","122.550","123.544","31,22B"
"17/05/2021","121.880","122.938","0,87","121.680","123.074","30,26B"
"14/05/2021","120.719","121.881","0,97","120.719","122.195","37,90B"
"13/05/2021","119.711","120.706","0,83","119.711","121.426","38,12B"
"12/05/2021","122.964","119.710","-2,65","119.458","122.964","49,65B"
"11/05/2021","121.904","122.964","0,87","120.145","122.964","34,14B"
"10/05/2021","122.038","121.909","-0,11","121.795","122.772","35,47B"
"07/05/2021","119.922","122.038","1,77","119.922","122.038","36,04B"
"06/05/2021","119.577","119.921","0,30","119.071","119.966","35,83B"
"05/05/2021","117.725","119.564","1,57","117.725","119.734","35,89B"
"04/05/2021","119.209","117.712","-1,26","117.631","119.293","35,73B"
"03/05/2021","118.951","119.209","0,27","118.528","119.904","35,35B"
"30/04/2021","120.064","118.894","-0,98","118.894","120.125","45,47B"
"29/04/2021","121.053","120.066","-0,82","119.703","121.498","35,74B"
"28/04/2021","119.392","121.053","1,39","119.392","121.276","35,22B"
"27/04/2021","120.595","119.388","-1,00","119.003","121.012","34,47B"
"26/04/2021","120.534","120.595","0,05","119.860","121.393","29,62B"
"23/04/2021","119.372","120.530","0,97","119.372","120.815","33,00B"
"22/04/2021","120.064","119.371","-0,58","119.203","120.995","34,20B"
"20/04/2021","120.925","120.062","-0,72","119.841","121.354","32,04B"
"19/04/2021","121.116","120.934","-0,15","120.682","121.974","57,67B"
"16/04/2021","120.701","121.114","0,34","120.199","121.333","35,40B"
"15/04/2021","120.290","120.701","0,34","120.084","121.409","35,00B"
"14/04/2021","119.298","120.295","0,84","119.298","120.871","65,09B"
"13/04/2021","118.809","119.297","0,41","118.041","118.813","11,75B"
"12/04/2021","117.661","118.812","0,97","117.661","118.812","28,13B"
"09/04/2021","118.313","117.670","-0,54","117.336","118.643","30,45B"
"08/04/2021","117.624","118.313","0,59","117.486","118.850","32,60B"
"07/04/2021","117.499","117.624","0,11","116.748","118.303","32,01B"
"06/04/2021","117.519","117.499","-0,02","117.176","118.213","28,36B"
"05/04/2021","115.262","117.518","1,97","115.262","117.668","30,11B"
"01/04/2021","116.644","115.253","-1,18","114.991","117.088","31,94B"
"31/03/2021","116.850","116.634","-0,18","115.932","117.249","36,40B"
"30/03/2021","115.414","116.850","1,24","114.999","117.090","32,27B"
"29/03/2021","114.776","115.419","0,56","114.096","115.553","29,73B"
"26/03/2021","113.750","114.781","0,91","113.305","115.416","33,30B"
"25/03/2021","112.065","113.750","1,50","110.927","114.024","36,88B"
"24/03/2021","113.272","112.064","-1,06","112.064","114.823","34,24B"
"23/03/2021","114.977","113.262","-1,49","113.062","115.599","31,02B"
"22/03/2021","116.222","114.979","-1,07","113.620","116.225","n/d"
"19/03/2021","114.837","116.222","1,21","114.610","116.446","n/d"
"18/03/2021","116.549","114.835","-1,47","114.302","116.751","35,96B"
"17/03/2021","114.018","116.549","2,22","113.428","116.736","35,74B"
"16/03/2021","114.845","114.019","-0,72","113.536","114.067","28,74B"
"15/03/2021","114.093","114.851","0,60","113.635","114.903","49,44B"
"12/03/2021","114.984","114.160","-0,72","113.253","114.984","32,88B"
"11/03/2021","112.782","114.984","1,96","112.776","115.127","n/d"
"10/03/2021","111.331","112.776","1,30","109.999","112.928","46,48B"
"09/03/2021","110.611","111.331","0,65","109.343","112.525","44,76B"
"08/03/2021","115.202","110.612","-3,98","110.268","115.202","49,39B"
"05/03/2021","112.690","115.202","2,23","112.504","115.504","50,21B"
"04/03/2021","111.191","112.690","1,35","111.163","114.433","52,13B"
"03/03/2021","111.529","111.184","-0,32","107.466","112.398","n/d"
"02/03/2021","110.328","111.540","1,09","107.319","112.428","50,67B"
"01/03/2021","110.036","110.335","0,27","110.036","112.445","39,29B"
"26/02/2021","112.260","110.035","-2,07","109.827","113.466","54,77B"
"25/02/2021","115.668","112.358","-2,86","111.764","116.506","n/d"
"24/02/2021","115.229","115.668","0,38","114.668","116.208","42,46B"
"23/02/2021","112.676","115.227","2,27","112.667","115.380","52,66B"
"22/02/2021","118.388","112.668","-4,87","111.650","118.388","88,55B"
"19/02/2021","119.199","118.431","-0,64","117.867","119.250","38,68B"
"18/02/2021","120.361","119.199","-0,96","118.515","120.845","40,83B"
"17/02/2021","119.421","120.356","0,78","118.880","120.597","43,46B"
"12/02/2021","119.300","119.429","0,11","118.163","119.763","29,58B"
"11/02/2021","118.440","119.300","0,73","118.440","120.283","32,39B"
"10/02/2021","119.472","118.435","-0,87","117.970","119.738","37,31B"
"09/02/2021","119.696","119.472","-0,19","118.246","119.975","33,51B"
"08/02/2021","120.239","119.696","-0,45","119.140","120.844","33,76B"
"05/02/2021","119.261","120.240","0,82","119.261","121.117","35,27B"
"04/02/2021","119.728","119.261","-0,39","118.918","120.560","34,55B"
"03/02/2021","118.235","119.725","1,26","118.234","120.210","36,35B"
"02/02/2021","117.520","118.234","0,61","117.519","119.805","41,81B"
"01/02/2021","115.093","117.518","2,13","115.093","117.862","34,46B"
"29/01/2021","118.880","115.068","-3,21","114.973","118.880","37,05B"
"28/01/2021","115.882","118.883","2,59","115.734","119.355","38,72B"
"27/01/2021","116.463","115.882","-0,50","114.887","117.840","39,22B"
"26/01/2021","117.381","116.464","-0,78","116.109","119.167","38,44B"
"22/01/2021","118.318","117.380","-0,80","116.109","118.318","34,05B"
"21/01/2021","119.628","118.329","-1,10","117.785","120.243","35,43B"
"20/01/2021","120.645","119.646","-0,82","118.740","121.449","32,14B"
"19/01/2021","121.250","120.636","-0,50","119.257","122.120","33,65B"
"18/01/2021","120.351","121.242","0,74","120.351","122.586","51,18B"
"15/01/2021","123.472","120.349","-2,54","120.185","123.472","9,39M"
"14/01/2021","121.947","123.481","1,27","121.947","123.896","8,97M"
"13/01/2021","123.996","121.933","-1,67","121.016","124.032","66,97B"
"12/01/2021","123.255","123.998","0,60","123.227","124.584","37,54B"
"11/01/2021","125.075","123.255","-1,46","122.506","125.075","39,56B"
"08/01/2021","122.387","125.077","2,20","122.386","125.324","45,81B"
"07/01/2021","119.103","122.386","2,76","119.101","122.697","44,19B"
"06/01/2021","119.377","119.100","-0,23","118.917","120.924","43,23B"
