id_1,id_2,ticker,assessment_year,Environmental Dimension,Governance & Economic Dimension,Social Dimension,price,ibov,esg,delta_e,delta_s,delta_g,delta_alpha,delta_esg
0,0,ABEV3,2013,14.6786535,37.899684,31.1689285,17.32,51507,27.915755333333333,0.3017315000000007,1.4048119999999997,-2.724642499999998,0.0006466666666666659,-0.33936633333333077
1,1,ABEV3,2014,14.980385,39.304496,28.444286,16.35,50007,27.576389000000002,11.485757999999999,-3.9284960000000027,5.0085839999999955,-0.0002253267237494367,4.188615333333324
2,2,ABEV3,2015,26.466143,35.376,33.45287,17.85,43350,31.765004333333327,-0.38783499999999904,-1.6526050000000012,-5.985589999999998,-8.591574331931047e-05,-2.6753433333333305
3,3,ABEV3,2016,26.078308,33.723395,27.46728,16.4,60227,29.089660999999996,6.798279000000001,-1.1443469999999962,6.727912,0.00030170015455950556,4.1272813333333325
4,4,ABEV3,2017,32.876587,32.579048,34.195192,21.28,76402,33.21694233333333,-11.821863,-14.780825,-10.905542999999998,-0.0007029997710098466,-12.502743666666664
5,5,ABEV3,2018,21.054724,17.798223,23.289649,15.14,85136,20.714198666666665,25.619238000000003,2.9466409999999996,9.471751999999999,0.0001317643973909338,12.679210333333334
6,6,ABEV3,2019,46.673962,20.744864,32.761401,19.16,115645,33.393409,13.342005,11.468203000000003,16.977141000000003,-0.001005338078291815,13.92911633333334
7,7,ABEV3,2020,60.015967,32.213067,49.738542,15.77,119017,47.32252533333334,0.0,0.0,0.0,0.0,0.0
8,8,AGRO3,2020,9.985714,9.799185,12.1975,25.26,119017,10.660799666666668,0.0,0.0,0.0,0.0,0.0
9,9,ALPA4,2019,17.471375,4.18122,9.750658,32.66,115645,10.467751,-12.596632,4.704162,-8.664171999999999,0.002731316725978648,-5.518880666666667
10,10,ALPA4,2020,4.874743,8.885382,1.086486,41.87,119017,4.948870333333333,0.0,0.0,0.0,0.0,0.0
11,11,ALUP11,2019,0.507692,7.785872,5.224138,27.5,115645,4.505900666666666,-0.507692,0.001578999999999553,0.48965499999999995,-0.00021055753262158981,-0.005485999999999436
12,12,ALUP11,2020,0.0,7.787451,5.713793,26.79,119017,4.500414666666667,0.0,0.0,0.0,0.0,0.0
