ticker,FQ22021,FQ12021,FQ42020,FQ32020,FQ22020,FQ12020,FQ42019,FQ32019,FQ22019,FQ12019,FQ42018,FQ32018,FQ22018,FQ12018
RRRP3,83450,75184,82206,-7413,-34223,-6940,-21710,-8486,-39842,-9418,,,,
AERI3,48014,55695,51708,85530,52805,33900,55815,37549,23362.5,23079,,,,
AESB3,,,,,,,,,,,,,,
AFLT3,6165,6380,983,7238.333,,,,,,,,,,
AGXY3,-169121,183334,,,-15103,62254,,,,,,,,
RPAD3,,,,,,,,,,,,,,
ALSO3,160526,120283,74204,105898,116787,208818,218144,-41895,101930,94791,128097,93633,93937,78720
ALZR11,,,,,,,,,,,,,,
ALLD3,121866.5,78845.25,,,34104,32718,,,,,,,,
ALPK3,-1208,19011,73492,8336,16442,46633,111798,63365,57507,45497,,,,
ALPA4,214027,162808,,111665,119641,65167,197142,109126,97287,124906,176342,231826,-60113,121089
APER3,6606,8075,13206,5670,5097,6712,5421,1285,2544,8051,14551,3263,-4079,2935
AVLL3,-40348,-30905,-10812,-42056,-59366,-56419,-21147.25,-69283,-82111,-91739,,,,
ALUP11,1126033,1102719,1699222,727505,447292,698418,648224,600049,466725,783093,164195,460504,383664,259063
ABEV3,5258995,6042966,6054214,4863809,3336944,4190977,6266976,4364139,4655649,5092891,6963305,4607935,4648099,4784375
AMBP3,73538,64778,56006,36993,46697,40231,29888,33606,33709,30533,,,,
AMER3,263318,88857,230478,197089,134714,91741,201138.5,119802,80897,54799,176555,103380,75367,57060
CBEE3,58637,186056,128085,189507,208438,236024,300745,295563,244572,307945,273773,238966,237809,217556
ANIM3,113977,113411,181745,58719,66309,34432,24417,43816,31238,76206,3846,2568,20948,57588
ARZZ3,201931,47920,122612,49297,-85397,46351,94429,69437,54276,41565,56756,67069,49217,40327
ARML3,37786,26527,,,11241,9682,,,,,,,,
CRFB3,1298000,986000,1569000,1267000,1426000,1082000,1355000,1129000,1118000,1043000,1327000,991000,934000,843000
ATMP3,-5676,1520,,4103,3065,-34927,-98182,-30239,-40745,8466,14862,20157,11417,16390
ATOM3,1812,4411,,4559,3437,1557,,-128,717,1684,,,,
AZEV4,-9891.5,-6000,13742,-3877,346,-1856.5,-3713,-2694,-1399,-3390,-23015,-43425,-6602,-7236
AZUL4,-335526,-181239,-973257.5,104735,-527936,639464,549727.5,1408689,494450,474216,580253,513264,295913,685568
B3SA3,2191740,2028682,1948635,1883451,1488053,1539497,1332884,1222721,1157540,1078775,698684,769985,956199,745150
BAHI3,8928,10455,31705,3578,9169,2407,-5160,174,-3010,-1456,-2898,1885,-1373,-1203
ABCB4,,,,,,,,,,,,,,
BRIV4,,,,,,,,,,,,,,
BMGB4,620862,323402,484472,309111,455532,284914,98586,513830,449056,404771,409623,545055,543288,322007
BBDC4,,,,,,,,,,,,,,
BPAC3,,,,,,,,,,,,,,
BAZA3,562544,362075,133287,212310,240956,344952,369974,301922,296300,166522,384422,258399,293014,188539
BBAS3,,,,,,,,,,,,,,
BGIP4,,,,,,,,,,,,,,
BPAR3,,,,,,,,,,,,,,
BRSR6,,,,,,,,,,,,,,
BNBR3,835190,1086163,602257,976185,397481,1294748,1180457,1286035,,1230569,,1199134,,936007
BIDI4,,,,,,,,,,,,,,
BMIN4,,,,,,,,,,,,,,
BMEB4,,,,,,,,,,,,,,
MODL3,,,,,,,,,,,,,,
BPAN4,,,,,,,,,,,,,,
PINE4,,,,,,,,,,,,,,
SANB4,16276284,10341842,15306185,9036302,4759517,1473326,13122800,11632487,14154614,14275058,13292873,12012543,8382196,12519169
BEES3,,,,,,,,,,,,,,
BNFS11,,,,,,,,,,,,,,
BDLL4,-5373,-4469,-10988,-9586,-17709,-7159,-128092,-26507,-23483,-12318,802,-14018,-19293,-20633
BALM4,3427,4606,6385,1541,10918,1536,310,3423,4399,3914,-761,3862,3122,2019
BBSD11,,,,,,,,,,,,,,
BBFI11B,,,,,,,,,,,,,,
BBIM11,,,,,,,,,,,,,,
RDPD11,,,,,,,,,,,,,,
BBSE3,1002818,1232448,1185104,1367536,1155970,1101227,1372374,1262686,1271027,1188687.75,959815,1021894.333,1196579,1046222
BMOB3,23504,25329.5,38566,15810.666,,24100,18027.25,21786.663,,,,,,
BMKS3,856,-579,-858,1566.333,1878,-1016,-1538,-758,-1388,-1550,-693,-739,-1406,-1317
BIOM3,-8733,-12042,-20725,-7314,-8868,-9466,-13374,-11996,-10302,-12993,-10191,-8133,-8496,-8138
BKBR3,-34259,-73355,74101,-55276,-125254,-22350,151762,73358,66255,52412,110324,78868,46453,35789
