Ticker,FY2020,FY2019,FY2018,FY2017,FY2016,FY2015,FY2014,FY2013
RRRP3,37431,-73631,12190,-15883,,-61403,-45775,-20245
AERI3,224162,139521,173410,104044,64072,48572,,
AESB3,,,,,,,,
AFLT3,19302,,,,,,,
AGXY3,112586,133498,26125,45624,44083,,,
RPAD3,,,,,-3029,-2527,-2562,-62
ALSO3,505708,372972,394387,388839,318258,513273,483519,342648
ALZR11,,,,,,,,
ALLD3,283439,224300,157011,89751,149012,164321,,
ALPK3,153203,240339,221963,240471,117964,107238,61555,60747
ALPA4,501668,528461,508997,448969,575987,468869,417547,440486
APER3,31576,18821,18535,-15244,5784,1018,14092,106171
AVLL3,-164444,-268126,-280536,-525778,144.88,330.199,,
ALUP11,3458076,2497000,1264000,1148911,1302642,1133512,1077271,980670
ABEV3,18119171,20361369,21003714,19853777,19091300,22059700,18161300,17080615
AMBP3,179928,127735,101668,38674,28930,,,
AMER3,328839,168319,46525,79451,423200,465821,417767,303134
CBEE3,762054,1148825,968104,651881,405682,421525,939211,922408
ANIM3,341205,175677,95524,137871,92182,157211,142716,52413
ARZZ3,107283,256496,232161,206265,163135,154289,159332,156205
ARML3,55077,29606,19120,,,,,
CRFB3,,4411000,4095000,3448000,3317000,2950000,2322000,1064366
ATMP3,,-160566,35409,-144017,100342,25290,412920,452892
ATOM3,,,,,,,,
AZEV4,6679,-11196,-80278,-64985,-42632,14180,19769,13793
AZUL4,-1873949,1923587,1750659,2273002,525901,-29930,604319,656959
B3SA3,6859636,4791920,3748504,3086890,2360206,3154990,1919417,1925591
BAHI3,48067,-8791,657,550,-2663,-970,-6454,-8349
ABCB4,1535781,1998425,1883624,2123519,2233670,1538140,1853703,1717177
BRIV4,,,,,,,,
BMGB4,1534029,1466243,1819973,1124935,1704181,1539010,2773903,2671473
BBDC4,58572012,77864832,79494939,103901542,126601255,83957796,76110807,58442141
BPAC3,14151388,13284442,8446807,6878760,12056059,11420569,11252906,9152120
BAZA3,931506,1134718,1124372,1179027,1154372,1222682,956926,694076
BBAS3,59023117,84432209,93003342,112370018,131507727,150602878,110766675,79407304
BGIP4,,,,,,,,
BPAR3,,,,,,,,
BRSR6,,5154062,5559249,6494025,6547341,7646569,5121840,4189585
BNBR3,3270671,5030217,4385610,4437782,3831174,4666498,3850037,2601015
BIDI4,,,,,,,,
BMIN4,,,,,,,,
