assessment_year,industry,company_id,parent_aspect,aspect,score_weight,score_value
2013,BNK Banks,873831,Environmental Dimension,Business Risks and Opportunities,9,97.5
2013,BNK Banks,873831,Environmental Dimension,Climate Strategy,4,69.95
2013,BNK Banks,873831,Environmental Dimension,Environmental Policy & Management Systems,4,80.64
2013,BNK Banks,873831,Environmental Dimension,Environmental Reporting,3,86.0
2013,BNK Banks,873831,Environmental Dimension,Operational Eco-Efficiency,4,41.929846
2013,BNK Banks,873831,Governance & Economic Dimension,Anti-crime Policy & Measures,4,100.0
2013,BNK Banks,873831,Governance & Economic Dimension,Brand Management,4,100.0
2013,BNK Banks,873831,Governance & Economic Dimension,Codes of Business Conduct,7,91.4
2013,BNK Banks,873831,Governance & Economic Dimension,Corporate Governance,7,70.416326
2013,BNK Banks,873831,Governance & Economic Dimension,Customer Relationship Management,6,90.446552
2013,BNK Banks,873831,Governance & Economic Dimension,Financial Stability & Systemic Risk,4,100.0
2013,BNK Banks,873831,Governance & Economic Dimension,Risk & Crisis Management,6,91.45
2013,BNK Banks,873831,Governance & Economic Dimension,Supply Chain Management,3,74.031618
2013,BNK Banks,873831,S&P Global ESG Score,Environmental Dimension,24,79.399141
2013,BNK Banks,873831,S&P Global ESG Score,Governance & Economic Dimension,41,88.931425
2013,BNK Banks,873831,S&P Global ESG Score,Social Dimension,35,78.255093
2013,BNK Banks,873831,Social Dimension,Controversial Issues: Dilemmas in Lending & Financing,4,75.5
2013,BNK Banks,873831,Social Dimension,Corporate Citizenship & Philanthropy,3,96.0
2013,BNK Banks,873831,Social Dimension,Financial Inclusion,3,79.0
2013,BNK Banks,873831,Social Dimension,Human Capital Development,6,88.0
2013,BNK Banks,873831,Social Dimension,Labor Practice Indicators,5,78.3924
2013,BNK Banks,873831,Social Dimension,Occupational Health & Safety,3,69.733684
2013,BNK Banks,873831,Social Dimension,Social Reporting,3,81.5
2013,BNK Banks,873831,Social Dimension,Stakeholder Engagement,2,71.25
