ticker,FQ22021,FQ12021,FQ42020,FQ32020,FQ22020,FQ12020,FQ42019,FQ32019,FQ22019,FQ12019,FQ42018,FQ32018,FQ22018,FQ12018
RRRP3,,,,,,,,,,,,,,
AERI3,,,,,,,,,,,,,,
AESB3,,,,,,,,,,,,,,
AFLT3,,,,,,,,,,,,,,
AGXY3,,,,,,,,,,,,,,
RPAD3,,,,,,,,,,,,,,
ALSO3,34.14863594,43.48925411,,62.81779661,53.10639881,17.00767263,,,33.81463146,36.76362297,16.08885897,35.84220716,30.53497942,151.4516129
ALZR11,,,,,,,,,,,,,,
ALLD3,,,,,,,,,,,,,,
ALPK3,,,,,,,,,,,,,,
ALPA4,,,,,,,,,,,,,,
APER3,,,,,,,,,,,,,,
AVLL3,,,,,,,,,,,,,,
ALUP11,,,,,,,,,,,,,,
ABEV3,,,,,,,,,,,,,,
AMBP3,,,,,,,,,,,,,,
AMER3,,,,,,,,,,,,,,
CBEE3,,,,,,,,,,,,,,
ANIM3,,,,,,,,,,,,,,
ARZZ3,,,,,,,,,,,,,,
ARML3,,,,,,,,,,,,,,
CRFB3,,,,,,,,,,,,,,
ATMP3,,,,,,,,,,,,,,
ATOM3,,,,,,,,,,,,,,
AZEV4,,,,,,,,,,,,,,
AZUL4,,,,,,,,,,,,,,
B3SA3,,,,,,,,,,,,,,
BAHI3,,,,,,,,,,,,,,
ABCB4,,9.356679863,10.05130042,,,5.768468191,8.796478505,,,9.419698514,8.286213164,,,8.032984603
BRIV4,,9.611949629,10.10315263,,,8.505984568,10.81475181,,,12.13402902,11.26731266,,,12.97108452
BMGB4,7.924372285,13.70680032,14.6261985,7.797284002,8.737128915,8.208201835,9.271886957,,,,,,,
BBDC4,,14.93655374,15.14299866,,,7.936331503,13.82075617,,,17.33293791,15.60125931,,,14.06615947
BPAC3,,18.79453451,18.17349116,,,8.482156908,12.37360737,,,13.60265576,5.942210927,,,9.655175744
BAZA3,1.50068102,2.849141772,2.212056779,18.72080041,3.460683083,6.540475715,1.382999042,162.4597872,2.820734417,,1.443251496,12.01721243,5.659835687,
BBAS3,,7.328387574,9.337978256,,,4.761000831,9.016710789,,,9.814798064,9.365557513,,,10.75048217
BGIP4,,,,,,,,,,8.072527473,7.802197802,,,6.526395173
BPAR3,7.067934783,,,8.790759925,5.467620109,7.919061769,5.046286031,5.046286031,5.210497577,6.545767523,,,,0.834599142
BRSR6,,,,,,3.843520704,6.975039668,,,10.89738305,9.991895663,,,7.571436522
