Ticker,Sector
RRRP3,Energy
AERI3,Industrials
AESB3,Utilities
AFLT3,Utilities
AGXY3,Industrials
RPAD3,Financials
ALSO3,Real Estate
ALZR11,Financials
ALLD3,Information Technology
ALPK3,Industrials
ALPA4,Consumer Discretionary
APER3,Financials
AVLL3,Consumer Discretionary
ALUP11,Utilities
ABEV3,Consumer Staples
AMBP3,Industrials
AMER3,Consumer Discretionary
CBEE3,Utilities
ANIM3,Consumer Discretionary
ARZZ3,Consumer Discretionary
ARML3,Industrials
CRFB3,Consumer Staples
ATMP3,Industrials
ATOM3,Communication Services
AZEV4,Industrials
AZUL4,Industrials
B3SA3,Financials
BAHI3,Financials
ABCB4,Financials
BRIV4,Financials
BMGB4,Financials
BBDC4,Financials
BPAC3,Financials
BAZA3,Financials
BBAS3,Financials
BGIP4,Financials
BPAR3,Financials
BRSR6,Financials
BNBR3,Financials
BIDI4,Financials
BMIN4,Financials
BMEB4,Financials
MODL3,Financials
BPAN4,Financials
PINE4,Financials
SANB4,Financials
BEES3,Financials
BNFS11,Financials
BDLL4,Industrials
BALM4,Health Care
BBSD11,Financials
BBFI11B,Real Estate
BBIM11,Financials
RDPD11,Financials
BBSE3,Financials
BMOB3,Communication Services
BMKS3,Consumer Discretionary
BIOM3,Health Care
BKBR3,Consumer Discretionary
BLAU3,Health Care
BLUT4,Materials
BLMO11,Financials
SOJA3,Consumer Staples
BOAS3,Industrials
BOBR4,Consumer Staples
BRML3,Real Estate
BRBI11,Financials
BRPR3,Real Estate
BRAP3,Materials
BBRK3,Real Estate
AGRO3,Consumer Staples
BRKM5,Materials
BREV11,Financials
BZLI11,Financials
BSLI4,Financials
BRCO11,Financials
BRFS3,Consumer Staples
BRIM11,Financials
BRIT3,Communication Services
BRZP11,Financials
CEAB3,Consumer Discretionary
XBOV11,Financials
CRFF11,Financials
CXSE3,Financials
CAMB3,Consumer Discretionary
CAML3,Consumer Staples
CPFF11.REIT,Financials
CPTS11,Financials
CBOP11,Financials
CCRO3,Industrials
MAPT4,Financials
ELET6,Utilities
CLSC4,Utilities
AALR3,Health Care
CESP6,Utilities
CFHI11,Financials
FESA4,Materials
CIEL3,Information Technology
CLSA3,Information Technology
VVEO3,Health Care
COGN3,Consumer Discretionary
EURO11,Financials
CBAV3,Materials
PCAR3,Consumer Staples
CASN3,Utilities
GPAR3,Utilities
CEDO4,Consumer Discretionary
CGAS5,Utilities
LCAM3,Industrials
PEAB4,Industrials
SBSP3,Utilities
CSMG3,Utilities
SAPR4,Utilities
CSAB4,Financials
CTNM4,Consumer Discretionary
CEGR3,Utilities
CEBR5,Utilities
CMIG4,Utilities
CEPE5,Utilities
COCE5,Utilities
CSRN3,Utilities
CEED3,Utilities
EEEL3,Utilities
HBTS5,Industrials
MSPA3,Communication Services
CPLE6,Utilities
CSNA3,Materials
CTSA4,Consumer Discretionary
CEEB3,Utilities
PASS3,Utilities
BRGE12,Financials
TEND3,Consumer Discretionary
CORR4,Real Estate
CSAN3,Energy
CPFE3,Utilities
CRDE3,Real Estate
HGFF11,Financials
HGPO11,Financials
HGRU11,Financials
CMIN3,Materials
CARD3,Information Technology
TRPL4,Utilities
CURY3,Consumer Discretionary
CVCB3,Consumer Discretionary
CXRI11,Financials
CYRE3,Consumer Discretionary
SYNE3,Real Estate
DMVF3,Consumer Staples
DESK3,Communication Services
DXCO3,Materials
DEXP3,Materials
DASA3,Health Care
PNVL3,Consumer Staples
DIRR3,Consumer Discretionary
DOHL4,Consumer Discretionary
DMMO3,Energy
DOTZ3,Communication Services
DTCY3,Industrials
ECOR3,Industrials
ENBR3,Utilities
EALT4,Materials
EKTR4,Utilities
LIPR3,Utilities
ELMD3,Communication Services
EPAR3,Consumer Discretionary
EMBR3,Industrials
PGMN3,Consumer Staples
EMAE4,Utilities
ECPR4,Consumer Discretionary
ENAT3,Energy
ENMT4,Utilities
ENGI3,Utilities
ENEV3,Utilities
EGIE3,Utilities
ENJU3,Consumer Discretionary
EQTL3,Utilities
EQPA3,Utilities
ETER3,Materials
BOVB11,Financials
IMBB11,Financials
B5MB11,Financials
EUCA4,Materials
ERPA11,Financials
EVEN3,Consumer Discretionary
KINP11,Financials
BAUH4,Consumer Staples
EZTC3,Consumer Discretionary
FCCQ11,Financials
HTMX11,Financials
FHER3,Materials
ABCP11,Financials
BTAL11,Financials
CRIV3,Financials
FNOR11,Financials
FSPE11,Financials
FSTU11,
FLRY3,Health Care
POWE3,Utilities
FRAS3,Consumer Discretionary
FNAM11,Financials
TORM13,Financials
ESUU11,Financials
FAED11,Real Estate
BPRP11,Financials
BRCR11,Real Estate
EDGA11,Real Estate
RECT11,Financials
FATN11,Financials
BARI11,Financials
CNES11,Financials
BPML11,Financials
CEOC11,Financials
IBFF11,Financials
HCTR11,Financials
MCCI11,Financials
WTSP11B,Financials
RFOF11,Financials
ONEF11,Financials
TCIN11,Financials
FTCE11B,Financials
CVBI11,Financials
PVBI11,Financials
RBRM11,Financials
FDES11,Financials
BTCR11,Financials
NVHO11,Financials
XPOM11,Financials
WPLZ11,Financials
RBRR11,Financials
RECR11,Financials
IRDM11,Financials
MGFF11,Financials
RBRF11,Financials
TGAR11,Financials
VTLT11,Financials
RBRY11,Financials
FMOF11,Financials
G2DI33,Financials
GFSA3,Consumer Discretionary
GCFF11,Financials
GSFI11,Financials
GSHP3,Real Estate
GGBR4,Materials
NINJ3,Communication Services
GGRC11,Financials
GOLL4,Industrials
GPIV33,Financials
GGPS3,Industrials
CGRA4,Consumer Discretionary
GRND3,Consumer Discretionary
SOMA3,Consumer Discretionary
GMAT3,Consumer Staples
RCFA11,Financials
SBFG3,Consumer Discretionary
GUAR3,Consumer Discretionary
HABT11,Financials
HAGA4,Industrials
HAPV3,Health Care
HBRE3,Real Estate
HLOG11,Financials
HPDP11,Financials
HRDF11,Financials
HFOF11,Financials
HBOR3,Real Estate
HETA4,Consumer Discretionary
HBSA3,Industrials
MATD3,Health Care
NSLU11,Financials
HOOT4,Consumer Discretionary
HSAF11,Financials
HSML11,Financials
HUSI11,Financials
HYPE3,Financials
PDTC3,Financials
IFIE11,Financials
IGBR3,Real Estate
IGTA3,Real Estate
LGCP11,Financials
VSEC11,Financials
ROMI3,Industrials
INEP4,Industrials
IFCM3,Communication Services
PARD3,Health Care
INTB3,Information Technology
BICR11,Financials
MEAL3,Consumer Discretionary
MYPK3,Industrials
RANI3,Materials
IRBR3,Financials
SMAL11,Financials
BOVA11,Financials
BRAX11,Financials
ECOO11,Financials
IVVB11,Financials
BOVV11,Financials
IMAB11,Financials
DIVO11,Financials
FIND11,Financials
GOVE11,Financials
IB5M11,Financials
MATB11,Financials
IRFM11,Financials
ISUS11,Financials
PIBB11,Financials
SPXI11,Financials
SMAC11,Financials
ITUB4,Financials
ITSA4,Financials
JALL3,Consumer Staples
JBSS3,Consumer Staples
JPSA3,Real Estate
JHSF3,Real Estate
JFEN3,Real Estate
JOPA4,Consumer Staples
JPPA11,Financials
JSLG3,Industrials
KLAS3,Industrials
CTKA4,Consumer Discretionary
KEPL3,Industrials
KNHY11,Financials
KNIP11,Financials
KLBN4,Materials
KRSA3,Health Care
LAVV3,Real Estate
LASC11,Financials
LIGT3,Utilities
LVTC3,Information Technology
RENT3,Industrials
LWSA3,Information Technology
LOFT11B,Financials
LFTT11,Financials
LOGG3,Real Estate
LOGN3,Industrials
LAME4,Consumer Discretionary
LJQQ3,Consumer Discretionary
LREN3,Consumer Discretionary
LPSB3,Real Estate
LUGG11,Financials
LUPA3,Energy
MDIA3,Consumer Staples
DMAC11,Financials
MGLU3,Consumer Discretionary
LEVE3,Consumer Discretionary
MALL11,Financials
MGEL4,Consumer Discretionary
ESTR4,Consumer Discretionary
POMO4,Industrials
MRFG3,Consumer Staples
AMAR3,Consumer Discretionary
CASH3,Communication Services
MELK3,Real Estate
MERC3,Financials
FRIO3,Industrials
MTIG4,Materials
GOAU4,Materials
RSUL4,Industrials
MTSA4,Industrials
MILS3,Industrials
